Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Perpetuum Mobile ;Perpetuum Mobile v83+1.5.6 -QU;be.PetrusGames.PerpetuumMobile;83;2021-06-05 09:46 UTC;97
MotoX ;MotoX v6+4.0 -FFA;com.EnverStudios.MotoX;6;2021-10-21 02:45 UTC;1069
Tsuro - The Game of The Path ;Tsuro - The Game of The Path v53+1.14.0 -QU;com.Thunderbox.TsuroVR;53;2021-06-05 12:31 UTC;85
Warpoint ;Warpoint v1406+v1.15.32 -FFA;com.warpoint.warpoint;1406;2022-09-18 03:02 UTC;211
GodsAndChariot ;GodsAndChariot v5+0.1 -FFA;com.nokor3d.GodsAndChariot;5;2022-06-21 17:17 UTC;538
HandPhysicsLab ;HandPhysicsLab v383+1.2.0.0148 -FFA;com.holonautic.HandPhysicsLab;383;2022-05-05 15:42 UTC;196
MusicalRange ;MusicalRange v80+1.0 -FFA;Rockhopper.MusicalRange.Alpha;80;2022-09-30 08:42 UTC;1823
Space Docker VR ;Space Docker VR v85+0.2.83 -FFA;com.CatCommandosLtd.SpaceDockerVR;85;2022-10-26 21:33 UTC;671
Broken Edge ;Broken Edge v23+1.0.1 -FFA;com.trebuchet.BrokenEdgeDev;23;2022-10-16 19:38 UTC;929
HolyQuranVRExperience ;HolyQuranVRExperience v18+1.0 -FFA;com.Sriostudios.Holyquran;18;2022-02-17 09:45 UTC;990
Vader Immortal Episode I ;Vader Immortal Episode I v387770+1.1.1+667256.cl.387770 -FFA;com.ILMxLAB.VaderImmortal.ep1;387770;2022-11-05 17:32 UTC;2648
Thief Simulator ;Thief Simulator v45+1.0.6 -FFA;com.rrrgames.ThiefSimVRQuest;45;2022-11-21 14:34 UTC;992
Control Tower VR ;Control Tower VR v23+0.71 -FFA;com.DigitalEmergence.ControlTower_Alpha;23;2022-06-27 08:42 UTC;221
Super Hentai Sexy Fun Time(18+) ;Super Hentai Sexy Fun Time(18+) v1+1.0 -VRP;com.bhg.shsft;1;2021-09-09 08:58 UTC;129
Cities VR ;Cities VR v299+1.00.299 -FFA;com.fasttravelgames.mascot;299;2022-08-31 23:45 UTC;2396
Axegend ;Axegend v1+3.0.5 -unknown;com.SubversionSquads.Axegend;1;2021-06-05 13:40 UTC;774
Golden Gloves Boxing VR ;Golden Gloves Boxing VR v70+0.1.0.1 -FFA;com.EngineRoomVR.GoldenGlovesBoxingVR;70;2022-11-26 16:54 UTC;302
Dream Tango Ascension ;Dream Tango Ascension v91+1.3.2 -FFA;com.Uncloudy.DreamTangoAscensionDebugArena;91;2022-10-09 18:40 UTC;999
HypnotizingBeautifulSistersWhoPissMeOff ;HypnotizingBeautifulSistersWhoPissMeOff v2+1.1 -FFA;com.FussaGames.HypnotizingBeautifulSistersWhoPissMeOff;2;2022-10-29 18:57 UTC;323
Special Delivery ;Special Delivery v30+1.1 -QU;com.MeerkatGaming.SD_Quest;30;2021-06-05 11:03 UTC;1330
Last Labyrinth ;Last Labyrinth v36+1.02 -FFA;jp.co.amata.lastlabyrinth;36;2022-08-31 23:53 UTC;1661
Radial-G - Proteus ;Radial-G - Proteus v29+0.1 -QU;com.Things3D.RadialGProteus;29;2021-06-05 10:10 UTC;540
Solicitude Wake-up ;Solicitude Wake-up v13+1.3 -QU;com.JRProduction.SolicitudeWakeupQuest;13;2021-06-05 10:56 UTC;548
RUNNER VR VRmoo.cn ;RUNNER VR VRmoo.cn v77+1.0 -FFA;com.truantpixel.Runner;77;2022-10-09 19:10 UTC;1117
Snake In a Box ;Snake In a Box v56+5.6 -unknown;com.dofdev.SnakeInABox;56;2021-06-05 10:55 UTC;60
Vader Immortal - Episode 3 ;Vader Immortal - Episode 3 v387932+3.0.3+667263.cl.387932;com.ILMxLAB.VaderImmortal.ep3;387932;2022-10-31 21:32 UTC;3750
MonkeybrainVR ;MonkeybrainVR v10+0.1 -FFA;com.EAH.MonkeybrainVR;10;2021-10-12 09:48 UTC;75
KUBIKOS ;KUBIKOS v13+1.0 -FFA;com.LicengGames.KUBIKOS;13;2022-06-28 11:43 UTC;112
QuestZDoom Pack ;QuestZDoom Pack v31+1.4.0 -DrBeef;com.drbeef.questzdoom;31;2022-05-01 15:16 UTC;166
Wands ;Wands v860+1.8.1 -FFA;com.CortopiaStudios.Wands;860;2022-03-19 00:42 UTC;399
Shoottris ;Shoottris v3+1.011 -QU;com.palvesoft.ShoottrisQuest;3;2021-06-05 10:48 UTC;95
Death Horizon ;Death Horizon v147+0.9.34 -FFA;com.dreamdev.deathhorizon.quest;147;2022-11-06 00:31 UTC;1539
DescentAlps ;DescentAlps v44+0.5.3 -FFA;com.Sutur.DescentAlps;44;2022-06-25 09:42 UTC;408
Ragnarock ;Ragnarock v70+1.6.3 -FFA;com.wanadev.ragnarockquest;70;2022-10-28 20:31 UTC;1622
Dance Collider ;Dance Collider v9+1.0 -FFA;com.EmergeWorlds.DanceCollider;9;2021-10-25 16:25 UTC;787
Virtuoso ;Virtuoso v660+1.1.3 -FFA;com.Really.Virtuoso;660;2022-11-04 02:58 UTC;96
Extreme Escape ;Extreme Escape v15+1.0 -FFA;com.immersiongames.EscapeRoom;15;2022-03-20 16:49 UTC;406
Into Space -1st and 2nd Step ;Into Space -1st and 2nd Step v24+0.904 -FFA;com.FaberCourtial.FC_1st_2nd_Step;24;2021-10-12 09:45 UTC;78
Spunky Dungeon ;Spunky Dungeon v10+1.0 -FFA;net.mobilemischief.spunkydungeonquest;10;2021-10-12 10:29 UTC;90
Fujii ;Fujii v825+1.0 -QU (b);com.funktroniclabs.fuji;825;2021-06-05 08:11 UTC;363
The Line ;The Line v57+57 -QU;io.arvore.theline;57;2021-06-11 05:38 UTC;345
The Climb ;The Climb v666+666.0 -FFA;com.crytek.climb;666;2022-08-11 11:42 UTC;1730
Lost in Place ;Lost in Place v40+1.1.0 -FFA;com.brightcornersllc.lostinplace;40;2022-07-24 00:41 UTC;411
Sports Scramble ;Sports Scramble v88+1.0 -unknown;com.Armature.SportsScramble;88;2021-06-05 11:06 UTC;1132
RESONARK X LITE ;RESONARK X LITE v10100002+1.0.1b -QU;com.sepnekoya.ResonarkXLite;10100002;2021-06-05 10:04 UTC;228
Mutated Virus ;Mutated Virus v22+3.0 -FFA;com.AnomosStudios.MutatedVirus;22;2022-01-25 10:42 UTC;1235
Izzys Beach Games VR ;Izzys Beach Games VR v3+3 -VRP;com.nolodesign.Beach_Games;3;2021-09-03 16:42 UTC;252
Spacefolk City ;Spacefolk City v2218+v1.16.89 (a4659e372) -FFA;com.moonmode.spacefolkcity;2218;2022-11-19 01:31 UTC;310
Gladius ;Gladius v64+1.0 -FFA;com.VirtualAge.GladiusQuest;64;2022-10-31 15:32 UTC;3859
Return to Castle Wolfenstein ;Return to Castle Wolfenstein v49+1.3.0 -DrBeef;com.drbeef.rtcwquest;49;2022-02-28 02:05 UTC;1299
Carve Snowboarding ;Carve Snowboarding v585+1.09 -FFA;com.ViteiBackroom.Powder;585;2022-01-14 15:44 UTC;2846
Moss Book II ;Moss Book II v91028+1.0.3.91028 -FFA;com.polyarc.Moss2;91028;2022-08-08 16:45 UTC;4649
Dyschronia dollarVR.com ;Dyschronia dollarVR.com v140+1.0.30 -FFA;com.MyDearest.DyschroniaCA;140;2022-09-24 13:13 UTC;3099
Snow Fortress ;Snow Fortress v2+1.33 -unknown;com.mythicalcitygames.snowfortress;2;2021-06-05 10:55 UTC;162
FitrisVR ;FitrisVR v142+0.9 -VRP;com.funlifejapan.fitrisvr;142;2021-08-08 22:18 UTC;411
Volleyball Fever ;Volleyball Fever v3+1.7.0 -FFA;io.neuston.volleyballfever;3;2022-07-30 13:46 UTC;119
VRIT ;VRIT v29+1.0.9 -FFA;com.Wasplay.VRIT;29;2022-02-11 15:43 UTC;117
Zephyrus Prelude ;Zephyrus Prelude v200005+2.3 -FFA;com.MageLoop.Zephyrus_Prelude;200005;2022-03-19 04:27 UTC;208
Learn Languages VR by Mondly ;Learn Languages VR by Mondly v60001+6.0.0 -FFA;com.ATiStudios.LearnLanguagesVRbyMondly;60001;2022-11-25 15:32 UTC;413
Loam Sandbox ;Loam Sandbox v67+0.23.0 -FFA;com.AmebousLabs.LoamSandBox;67;2022-11-23 07:32 UTC;807
Blockies VR dollarvr.com ;Blockies VR dollarvr.com v10+0.0.10 -FFA;com.DragonGateStudio.BlockiesVR;10;2022-10-10 05:59 UTC;742
Escape Room - Mysteries of Egypt ;Escape Room - Mysteries of Egypt v3+0.3 -VRP;com.MadCreativeSolutions.EscapeRoomMysteriesofEgypt;3;2021-08-08 22:47 UTC;229
LES MILLS BODYCOMBAT ;LES MILLS BODYCOMBAT v1300+1.3.00 -FFA;com.odders.shapeit;1300;2022-09-26 18:44 UTC;2814
The Last place ;The Last place v2+0.2 -unknown;br.com.mashimobi.thelastplace;2;2021-06-05 11:43 UTC;177
Revolver Widow ;Revolver Widow v3+1.2 -QU;com.StudioPoncho.Pinkertons;3;2021-06-05 10:24 UTC;400
B-Team ;B-Team v70+21.11.09.358028 -FFA;com.twistedpixelgames.BTEAM_App;70;2022-01-24 16:41 UTC;973
BanditSix ;BanditSix v130+1.1.0 -unknown;com.climaxstudios.BanditSix;130;2021-06-05 13:46 UTC;285
Quantaar ;Quantaar v20+0.83 -FFA;com.Pumpkin.Quantaar;20;2022-11-24 00:02 UTC;3384
Santas Reindeer Racing 2021 ;Santas Reindeer Racing 2021 v1+0.1 -FFA;finnloft.SRR2021;1;2021-10-12 10:23 UTC;181
The Room VR - A Dark Matter ;The Room VR - A Dark Matter v5011+1.02 -QuestUndeground;com.FireproofStudios.TheRoomVR;5011;2021-06-05 11:45 UTC;2133
Private Agent ;Private Agent v5+1.3 -QU;com.Nottie.PrivateAgent;5;2021-06-05 09:57 UTC;805
Towerport dollarvr.com ;Towerport dollarvr.com v4+0.1 -FFA;com.Barrelcry.Towerport;4;2022-09-08 01:05 UTC;647
Breakout ;Breakout v16+0.1.6 -QU;com.PicoPlanetDev.Breakout;16;2021-10-10 06:13 UTC;48
Chupa Chupa VR ;Chupa Chupa VR v1+2.0 -VRP;com.kan.kikuchi.ChupaChupaVR;1;2021-06-05 05:54 UTC;604
Prison Boss VR ;Prison Boss VR v37+1.6.0.16 -QU;com.Trebuchet.PrisonBossVR;37;2021-06-05 09:56 UTC;448
Jurassic World Aftermath ;Jurassic World Aftermath v35685+v2.1 -VRP (Includes Part 2);com.coatsink.alone;35685;2021-10-06 22:52 UTC;1165
Gunjack ;Gunjack v6+1.4.1 -FFA;com.ccpgames.gunjack;6;2022-06-28 10:34 UTC;191
Layers of Fear VR ;Layers of Fear VR v36+2.0 -QU;com.bloober.layersoffearvr;36;2021-06-05 08:54 UTC;1721
DeceptiveReality ;DeceptiveReality v13+0.0.9.36 -FFA;com.QuarantineStudios.DeceptiveReality;13;2022-08-14 12:06 UTC;2897
Bonfire ;Bonfire v542+1.0.542 -QU;com.baobab.bonfire;542;2021-06-05 05:14 UTC;401
Superfly ;Superfly v21+1.0.6 -FFA;com.LocoMotionDevs.Superfly;21;2022-08-15 00:41 UTC;313
Warhammer - Battle Sisters ;Warhammer - Battle Sisters v15981325+1.2.4 -FFA;com.PixelToys.BattleSisters;15981325;2022-06-29 15:11 UTC;4261
Doctor Who The Edge of Time ;Doctor Who The Edge of Time v368+368 -QU (b);com.mazetheory.doctorwho;368;2021-06-05 07:16 UTC;1317
Gadgeteer ;Gadgeteer v88+1.1.2 -FFA;com.metanaut.Gadgeteer;88;2022-11-05 20:32 UTC;536
Trash Gun ;Trash Gun v11+0.11 -QU;com.JohnRayGames.TrashGun;11;2021-06-05 12:23 UTC;119
Rpublique VR ;Rpublique VR v244441+1.3 -FFA;com.camouflaj.republiquevr;244441;2022-09-25 11:44 UTC;3661
ShootersIsland ;ShootersIsland v1+1.0 -FFA;com.SeminautGameStudios.ShootersIsland;1;2022-06-03 18:35 UTC;1401
Paint it Back ;Paint it Back v12+1.0 -FFA;com.solaair.paintitback;12;2021-12-06 07:31 UTC;1515
Dance Central ;Dance Central v121011401+1.2.1 -QU (b);com.HarmonixMusic.DCVRQuest;121011401;2021-06-05 07:00 UTC;2750
CaveDigger2 ;CaveDigger2 v100379+1.0.38.4 -FFA;com.mekiwi.cavedigger2AppLab;100379;2022-09-21 04:41 UTC;844
Fitness Bird ;Fitness Bird v39+1.0 -ITCH;com.FitnessBird.FitnessBird;39;2021-10-12 07:45 UTC;115
Space Junk ;Space Junk v15+1.4 -FFA;com.cestrian.spacejunk;15;2022-10-16 12:31 UTC;426
Chess VR ;Chess VR v2+1.1 -FFA;com.chess.vr.strategy.puzzle;2;2022-02-04 18:42 UTC;122
Coffin Rot Brewing Co ;Coffin Rot Brewing Co v16+1.0.16 -FFA;com.NoonerBearStudio.CoffinRotBrewingCo;16;2022-08-30 18:24 UTC;224
Hitchhiker - A Mystery Game ;Hitchhiker - A Mystery Game v42+1.0.94 -FFA;com.madaboutpandas.hitchhikergame;42;2022-03-12 05:28 UTC;1295
Sucker Punch ;Sucker Punch v14+1.10 -FFA;com.glimpsereality.suckerpunch;14;2022-01-29 06:06 UTC;1032
LittleCities ;LittleCities v69+1.2.3 -FFA;com.purpleyonder.littlecities;69;2022-09-26 20:41 UTC;395
exVRience Golf Club ;exVRience Golf Club v193+1 -FFA;com.exvrience.exvriencegolfclubq;193;2022-11-16 20:33 UTC;1458
Catbusters ;Catbusters v133+1.2.133 -FFA;com.tekotronics.catbusters;133;2022-06-28 10:32 UTC;131
Eternal Starlight ;Eternal Starlight v784+1.4.784 -FFA;com.wnas.eternalstarlight;784;2022-08-21 08:42 UTC;429
EscaperoomTC ;EscaperoomTC v11+1.04 -FFA;com.Escape.Escape_room_TC;11;2022-09-21 05:49 UTC;951
Star Shaman ;Star Shaman v1301+13.0.1 -QU;com.Ikimasho.StarShaman;1301;2021-11-07 11:09 UTC;691
Subway Sprinters VR VRmoo.cn ;Subway Sprinters VR VRmoo.cn v4+4 -FFA;com.BlueBoomerangGames.SubwaySprinters;4;2022-09-22 11:47 UTC;63
Osha Safety Simulator ;Osha Safety Simulator v2+1.0.1 -ITCH;com.ChalkBites.OshaSafetySimulatorQuest;2;2021-10-12 08:38 UTC;636
Ultra Height - Mist City Climb ;Ultra Height - Mist City Climb v12+9.9 -VRP;com.UltraFunGames.UltraHeightMistCityClimb;12;2021-09-03 16:31 UTC;286
Townscaper VR VRmoo.cn ;Townscaper VR VRmoo.cn v41+1.2.0 -FFA;com.OskarStalberg.Townscaper;41;2022-10-09 18:37 UTC;70
Ultrawings 2 ;Ultrawings 2 v14410213+0.91 -FFA;com.BitPlanetGamesLLC.Ultrawings2;14410213;2022-05-12 17:14 UTC;1688
Escape From Dungeon ;Escape From Dungeon v4+1.1.5 -FFA;com.GoodNet.Escapeofdungeon;4;2022-04-18 23:46 UTC;2015
Monolith ;Monolith v1+0.1 -unknown;com.n.monolith;1;2021-06-05 09:08 UTC;313
Magic Puzzle Dragon Sword ;Magic Puzzle Dragon Sword v112+1.1.2 -FFA;com.leafboatstudio.magicpuzzle;112;2022-10-24 07:32 UTC;322
Tunnel Runner ;Tunnel Runner v14+1.0.14 -FFA;com.drmop.tunnelrunner;14;2021-10-12 10:54 UTC;113
Ocean Rift ;Ocean Rift v55+1.68 -Q2Patched-90Hz -QU;com.picselica.OceanRiftFullQuest;55;2021-06-05 09:30 UTC;415
Home Plate Baseball ;Home Plate Baseball v44+4.4 -FFA;com.Beep2Bleep.HomePlateBaseball;44;2022-03-01 18:41 UTC;100
Cooking Simulator VR ;Cooking Simulator VR v10105+1.1.5 -FFA;com.gameboomvr.CookingSimulatorVR;10105;2022-10-29 11:32 UTC;3656
Code Sex One ;Code Sex One v1+1.72 -FFA;com.BrittanyFactory.CodeSexOne;1;2022-11-10 17:42 UTC;324
Super Gun Arena VR VRmoo.cn ;Super Gun Arena VR VRmoo.cn v19+1.9 -FFA;com.LanogaGameStudio.SuperGunArena;19;2022-09-06 10:44 UTC;406
Viking Days ;Viking Days v21+1.0 -unknown;com.vrmonkey.VikingDays;21;2021-06-05 12:55 UTC;292
Let's Go Chopping ;Let's Go Chopping v2+.2 -unknown;com.SoaringRocStudio.LetsGoChopping;2;2021-06-05 08:56 UTC;293
Waltz of the Wizard Extended Edition ;Waltz of the Wizard Extended Edition v1136+2.3.1.1136 -FFA;com.Aldin.WotW;1136;2022-11-16 20:32 UTC;1830
Space Slurpies ;Space Slurpies v181+1.4 -FFA;com.StarcadeArcadeLLC.SpaceSlurpies;181;2022-11-21 10:34 UTC;777
Puzzle Bobble VR Vacation Odyssey ;Puzzle Bobble VR Vacation Odyssey v300836+1.0 -FFA;com.survios.bam;300836;2022-07-01 16:43 UTC;1129
Squingle ;Squingle v57+2.0.1 -FFA;com.SquingleStudios.Squingle;57;2022-10-11 16:31 UTC;403
Matching Pairs VR ;Matching Pairs VR v8+1.0 -FFA;com.WeirdEyeStudios.MatchingPairsVR;8;2021-10-12 09:52 UTC;745
CookingAdventureTycoonVR ;CookingAdventureTycoonVR v1+1.0 -FFA;com.STOICEnt.CookingAdventure;1;2022-09-01 00:45 UTC;887
Running Bros ;Running Bros v3+1.3 -FFA;com.SeeninaDreamEntertainment.RunningBros;3;2021-10-12 10:17 UTC;63
VenVR Adventure ;VenVR Adventure v44+1.44 -FFA;com.monologicgames.venvradventure;44;2021-10-28 11:38 UTC;8269
High School Anatomy ;High School Anatomy v7+1.0.0 -FFA;com.virtualmedicine.humananatomyquest;7;2022-06-28 11:51 UTC;897
FigureOut VR ;FigureOut VR v1+1.0 -QU;com.figureout.questvr;1;2021-06-05 08:00 UTC;46
The Twilight Zone ;The Twilight Zone v4608+4608 -FFA;com.funtrain.twilightzone;4608;2022-10-08 23:33 UTC;1918
BubbleBoogie ;BubbleBoogie v200016+0.5 -FFA;com.VStars.BubbleBoogie;200016;2022-09-20 13:41 UTC;670
ViFit ;ViFit v1+1.0.0 -unknown;com.VifitTraining.Vifit;1;2021-06-05 12:55 UTC;181
Active Shooter Survival ;Active Shooter Survival v9+21.5.24 -QU;com.incitevr.activeshooter;9;2021-06-21 11:18 UTC;493
Blast Beat VR ;Blast Beat VR v22+1.0.1 -FFA;jp.co.gzeal.BlastBeat;22;2022-08-27 22:22 UTC;746
Garden of the Sea ;Garden of the Sea v338+1.006009 -FFA;com.NeatCorporation.GardenoftheSea;338;2022-09-26 16:41 UTC;411
Beat Saber ;Beat Saber v439+1.26.0 -FFA;com.beatgames.beatsaber;439;2022-11-24 06:46 UTC;2835
Invoiders ;Invoiders v2+2.0 -QU;com.AIKOCreativeVision.Invoiders;2;2021-10-10 05:09 UTC;896
golf5eclub ;golf5eclub v279+3.279 -FFA;com.aaagamestudios.golf5eclub;279;2022-09-29 20:52 UTC;2084
Zelda VR ;Zelda VR v1+1 -FFA;com.OwlstudioGame.ZeldaVR;1;2022-08-29 18:15 UTC;123
Drunkn Bar Fight ;Drunkn Bar Fight v2695+10.70 -FFA;com.themunky.drunknbarfightQuest;2695;2022-10-30 20:31 UTC;1820
WarchasmOQ ;WarchasmOQ v40+1.0 -FFA;com.DefectivePenguinGames.Warchasm_OQ;40;2022-07-15 12:42 UTC;1013
Blade and Sorcery - Nomad ;Blade and Sorcery - Nomad v126+0.11.3 -FFA;com.Warpfrog.BladeAndSorcery;126;2022-10-12 15:31 UTC;4159
Take Aim ;Take Aim v23+1 -FFA;com.WeirdEyeStudios.TakeAim;23;2021-10-12 10:48 UTC;472
UndeadQuest ;UndeadQuest v1+1.0 -FFA;com.epicgames.UndeadQuest;1;2022-11-06 07:05 UTC;1002
Viking Days ;Viking Days v27+2.1.5 -FFA;com.vrmonkey.vikingdaysneo2;27;2022-11-11 06:52 UTC;488
Crash Course Coordination ;Crash Course Coordination v6+1.6 -FFA;com.lobaki.c3q;6;2021-12-18 15:36 UTC;292
Dragon Fist VR Kung Fu ;Dragon Fist VR Kung Fu v39+1.0.5 -FFA;com.BenOldingGames.DragonFistVRKungFu;39;2022-09-16 03:42 UTC;965
Shooter 360 ;Shooter 360 v1+1.1 -FFA;com.Questeroid.Shooter360;1;2022-07-27 13:47 UTC;74
BangSquash PRO ;BangSquash PRO v12+2.2 -VRP;com.lebersoftware.bangsquashpro;12;2021-08-15 06:50 UTC;143
Dissection Simulator - Invertibrate Edition ;Dissection Simulator - Invertibrate Edition v10+1.0 -QU;com.VictoryXR.SquidDissection;10;2021-10-10 04:10 UTC;952
The Puny Climber ;The Puny Climber v11+0.5.7.1 -FFA;com.VR5.puny;11;2022-06-22 09:42 UTC;1223
Dogfight Elite ;Dogfight Elite v200634+1.1.75 -FFA;com.echoboom.dogfightelite;200634;2021-10-12 09:09 UTC;245
Pangman ;Pangman v16+1.1 -FFA;com.IvanovichGames.BeatBlaster;16;2022-01-09 06:42 UTC;259
golf5eclub ;golf5eclub v309+3.309 -FFA;com.aaagamestudios.golf5eclub;309;2022-11-12 23:31 UTC;2246
Vermillion ;Vermillion v9211+0.9.2b11 -FFA;com.TheAviary.Vermillionbg2;9211;2021-12-04 20:58 UTC;270
Primal Hunt ;Primal Hunt v660+0.0.15_2022_03_19_UX_CUSTOM -FFA;com.phaserlock.primalhunt;660;2022-11-04 16:43 UTC;1541
BATTLESCAR Punk Was Invented By Girls ;BATTLESCAR Punk Was Invented By Girls v1255+_1255_3142 -VRP;com.atlas.Battlescar.Quest;1255;2021-08-08 23:49 UTC;1947
Space Shooter ;Space Shooter v16+1.02 -VRP;vr.tgs.spaceshooter;16;2021-08-09 08:11 UTC;101
Penn & Teller VR - F U, U, U, & U ;Penn & Teller VR - F U, U, U, & U v1960571+1.0 -QU (b);com.GearboxSoftware.Hawthorn;1960571;2021-06-05 09:43 UTC;1768
SpaceDragonUnchained ;SpaceDragonUnchained v6+11.04.22 -FFA;com.ThreePoundGames.SpaceDragonUnchained;6;2022-11-11 19:03 UTC;619
Tentacular ;Tentacular v86+1.1.10 -FFA;com.firepunchd.tentacularvr;86;2022-07-15 09:43 UTC;470
Angry Birds VR - Isle of Pigs ;Angry Birds VR - Isle of Pigs v305100058+3.5.100058 -QU;com.resolutiongames.abvriop.santacruz;305100058;2021-06-05 13:33 UTC;340
Crashland ;Crashland v72+1.016 -QU;com.LACGames.Crashland;72;2021-06-18 14:57 UTC;724
Beat Saber ;Beat Saber v406+1.25.1 -FFA (ALL DLC + BMBF);com.beatgames.beatsaber;406;2022-11-23 07:40 UTC;2732
Space Pirate Trainer Quest ;Space Pirate Trainer Quest v1965+1.965 -FFA;com.iillusions.spacepiratetrainerquest;1965;2021-11-17 22:09 UTC;1364
Cosmonious High ;Cosmonious High v1668+26421 -FFA;com.OwlchemyLabs.CosmoniousHigh;1668;2022-06-10 17:50 UTC;994
BONELAB ;BONELAB v1975+1.1975.32434 -FFA;com.StressLevelZero.BONELAB;1975;2022-11-20 15:34 UTC;6669
Pro Car Wash ;Pro Car Wash v12+0.2 -FFA;com.FragilentInteractive.ProCarWashVR;12;2022-08-14 12:03 UTC;247
KitchenIslandVR ;KitchenIslandVR v9+0.9 -FFA;com.VRBuddyGames.KitchenIslandVR;9;2022-05-06 05:38 UTC;583
Bonsai Desk ;Bonsai Desk v57+0.2.1 -VRP;com.HyperMesa.BonsaiDesk;57;2021-08-23 00:22 UTC;124
Star Wars Pinball VR ;Star Wars Pinball VR v10737+1.3 -QU;com.YourCompany.SWP_VR;10737;2021-06-25 21:49 UTC;2383
Sep's Diner ;Sep's Diner v27+10123 -FFA;com.scale1.sepsdinerSolo;27;2022-05-27 22:33 UTC;473
Dead Effect 2 VR ;Dead Effect 2 VR v1700000087+210517.1355 -QU;com.badflyinteractive.deadeffect2;1700000087;2021-06-09 18:38 UTC;2756
Pickleball ;Pickleball v208+0.9.208 -FFA;com.vengine.Pickleball;208;2022-11-11 06:46 UTC;434
Mare ;Mare v32+32 -FFA;com.VisionTrick.Mare;32;2022-03-30 07:43 UTC;873
ZenVR ;ZenVR v47+1.12.8 -FFA;com.SatoriStudios.ZenVR;47;2022-07-30 23:42 UTC;928
TripeaksDreamland VR ;TripeaksDreamland VR v6+1.0 -QU;de.DanielAli.TripeaksDLVRQuest;6;2021-06-05 12:26 UTC;215
Dissection Simulator - Frog Edition ;Dissection Simulator - Frog Edition v2+1.0 -FFA;com.VictoryXR.FrogDissectionQuest;2;2021-10-12 09:11 UTC;595
Just Drive ;Just Drive v1+1.0 -unknown;com.JustDrive.JustDrive;1;2021-06-05 08:47 UTC;537
CubeHook ;CubeHook v7+1.4.1 -FFA;com.ArcarveStudio.CubeHook;7;2022-11-13 12:30 UTC;202
X-Fitness ;X-Fitness v100093+3.97 -FFA;com.NiVision.XBOOSTER;100093;2022-04-10 19:35 UTC;476
Beat Blaster ;Beat Blaster v10+1.1 -FFA;com.IvanovichGames.BeatBlasterVR;10;2022-01-20 22:27 UTC;116
MetalMultiball ;MetalMultiball v309+1.309 -FFA;com.SteveHinanPresents.MetalMultiball;309;2022-09-19 17:42 UTC;829
RamCastle ;RamCastle v2+2 -FFA;com.curiousvr.ramcastle;2;2021-10-12 10:15 UTC;76
SUPERHOT VR ;SUPERHOT VR v152+1.152 -VRP;unity.SUPERHOT_Team.SUPERHOT_VR_QA;152;2021-08-19 23:17 UTC;546
Zooma - Deluxe Edition ;Zooma - Deluxe Edition v712+1.1.3 -VRP;com.GizmoVRLTD.Zooma;712;2021-08-01 18:33 UTC;111
Shadow Point ;Shadow Point v43+1.1 (b) -QU;com.coatsink.nexus;43;2021-06-05 10:47 UTC;925
Kid Setas ;Kid Setas v1+0.1 -unknown;com.realdragonvr.setas;1;2021-06-05 08:47 UTC;63
Pick-up League Hockey ;Pick-up League Hockey v505+1.81.03 -FFA;net.electricfalcon.pickuphockeyvr;505;2022-11-21 00:30 UTC;198
Quest Pi Launcher ;Quest Pi Launcher v41+0.4.1 -FFA;com.lvonasek.pilauncher;41;2022-07-29 01:50 UTC;9
Shooting Therapy ;Shooting Therapy v2+0.2 -QU;com.NoFlinch.ShootingTherapy;2;2021-06-05 10:48 UTC;108
Virtual Desktop ;Virtual Desktop v12210+1.22.1.0 -FFA;VirtualDesktop.Android;10312;2022-10-16 20:22 UTC;820
Virus No More ;Virus No More v5+1.3 -FFA;com.foxybanshee.virusnomorequest;5;2022-01-24 04:43 UTC;223
Poly Star VR ;Poly Star VR v17+1.0 -FFA;com.Newmatic.Polystar;17;2022-01-01 04:41 UTC;314
Car Mechanic Simulator VR ;Car Mechanic Simulator VR v298+1.1.2 -FFA;com.GameFormatic.CMSVRQuest;298;2022-09-30 02:42 UTC;1571
Gladiatus ;Gladiatus v2+1.0 -QU;com.varonia.gladiatus;2;2021-06-05 08:15 UTC;336
Pteranodon's Flight ;Pteranodon's Flight v1+1.0 -unknown;com.VictoryXR.PteranodonsFlight;1;2021-06-05 09:57 UTC;359
A Township Tale ;A Township Tale v36463+main-0.1.4.36463 -FFA;com.Alta.ATownshipTale;36463;2022-11-25 06:31 UTC;644
ZomB Run ;ZomB Run v26+0.44 -VRP;com.BlackDragonProductionsLtd.ZomBRun;26;2021-08-15 07:31 UTC;321
Arrowhead - Medieval Archery VR ;Arrowhead - Medieval Archery VR v5+1.0.1 -FFA;com.kilogrames.arrowheadmedievalarcheryvr;5;2022-08-20 17:41 UTC;240
Rogue Ascent VR ;Rogue Ascent VR v351+0.7.80f3 -FFA;com.NBS.RogueAscent;351;2022-11-18 06:32 UTC;945
Sniper Elite VR ;Sniper Elite VR v35713+1.03 -VRP (Q2 ONLY);com.JustAddWater.SniperEliteVR;35713;2021-10-01 00:17 UTC;3860
ZRace ;ZRace v859+1.0.10 -FFA;com.Xocus.ZRace;859;2022-02-16 05:36 UTC;1301
