Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
Lucky's Tale ;Lucky's Tale v44+1.0.55 -FFA;com.playful.LuckysTale;44;2022-04-19 19:47 UTC;3569
BRINK Traveler ;BRINK Traveler v240+1.2.0 -FFA;com.brink.vr.oculus.quest;240;2022-07-29 22:42 UTC;649
Head Count ;Head Count v6+1.0 -FFA;com.monochrome.headcount;6;2022-08-16 07:10 UTC;876
Vault of Stars ;Vault of Stars v17+12.14.21 -FFA;com.threelbGames.VaultofStarsBeta;17;2022-01-25 17:42 UTC;485
Flow Weaver ;Flow Weaver v47+1.1.1 -FFA;ca.StitchMedia.FlowWeaver;47;2021-12-21 20:44 UTC;612
RemainAlive ;RemainAlive v462+1.1 -FFA;com.FuzzyBear.RemainAlive;462;2022-08-22 01:25 UTC;341
Shooty Skies Overdrive ;Shooty Skies Overdrive v85270+1.10.85270 -VRP;com.mightygamesgroup.shootyvr;85270;2021-08-08 22:40 UTC;278
Fire Extinguisher Simulator ;Fire Extinguisher Simulator v2+1.0.1 -ITCH;com.ChalkBites.FireExtinguisherQuest;2;2021-10-12 07:36 UTC;336
Truck Driver ;Truck Driver v2+1.2 -FFA;org.mt.truckdriver5;2;2022-09-14 09:15 UTC;247
Frog Dissection ;Frog Dissection v1+1.0 -unknown;com.VictoryXR.FrogDissectionQuest;1;2021-06-05 08:10 UTC;588
Travel The Words! ;Travel The Words! v3+1.0 -QU;com.Studio8ight.TTW.Full;3;2021-06-05 12:24 UTC;639
Apex Construct ;Apex Construct v56+56.0 -FFA;com.fasttravelgames.apexconstruct;56;2022-06-17 02:42 UTC;1268
Arcsmith ;Arcsmith v128+1.128 -VRMOO;com.BithellGames.Arcsmith;128;2021-08-01 09:27 UTC;653
StonesOfHarlath ;StonesOfHarlath v44+1.4 -FFA;com.garageCollective.myStonesOfHarlath;44;2022-07-31 09:43 UTC;458
ShaveNStuff ;ShaveNStuff v12+0.84 -FFA;games.hypervr.hairandbeauty;12;2022-08-19 07:07 UTC;89
BLOCKVERSE XR ;BLOCKVERSE XR v91+0.1.3 -FFA;com.RunningPixel.blockverseXR;91;2022-04-05 22:01 UTC;101
Zombies in your Home ;Zombies in your Home v1+0.1 -VRP;com.Cazforshort.ZombiesInYourHome;1;2021-11-04 08:28 UTC;35
